RecordID,RecordType,Title,Category,Location,SubmittedDate,ModeratedDate,ContributorRole,UserSegment,ReviewOrGuideText,Rating,Status,Language,Tags
EH-001,Event Review,RSU Freshman Orientation,Orientation,Building 11 Auditorium,2026-06-01,2026-06-02,First-year Student,First-year Student,"The orientation was informative and helped me understand campus facilities. The registration process was smooth.",5,Approved,English,"orientation, freshman, campus"
EH-002,Event Review,ICT Coding Workshop,Workshop,ICT Building 11 Room 402,2026-06-02,2026-06-03,ICT Student,Undergraduate Student,"The workshop covered practical programming skills. More hands-on activities would make it even better.",4,Approved,English,"coding, ict, workshop"
EH-003,Event Guide,How to Register for Campus Events,Guide,Online Portal,2026-06-03,2026-06-04,Student Ambassador,First-year Student,"Log in using your student account, select the event, and click Register before the deadline.",5,Approved,English,"registration, guide"
EH-004,Event Review,International Cultural Festival,Cultural Event,Student Plaza,2026-06-04,2026-06-05,International Student,International Student,"A great opportunity to experience different cultures and make new friends.",5,Approved,English,"culture, international"
EH-005,Event Review,Career Fair 2026,Career Event,Convention Hall,2026-06-05,2026-06-06,Senior Student,All Students,"Many companies participated and provided internship opportunities.",5,Approved,English,"career, internship"
EH-006,Event Guide,Finding Events by Category,Guide,Smart Campus Event Hub,2026-06-06,2026-06-07,Technical Team,All Students,"Use the search filter to browse workshops, sports, seminars, competitions, and club activities.",4,Approved,English,"search, filter"
EH-007,Event Review,Badminton Friendly Match,Sports Event,Sports Complex,2026-06-07,2026-06-08,Sports Club Member,All Students,"Well organized event with friendly participants. Equipment was provided.",4,Approved,English,"sports, badminton"
EH-008,Event Review,Entrepreneurship Seminar,Seminar,Building 3 Conference Room,2026-06-08,2026-06-09,Business Student,Undergraduate Student,"The guest speaker shared useful startup experiences and answered questions.",5,Approved,English,"seminar, startup"
EH-009,Event Guide,Receiving Event Notifications,Guide,Smart Campus Event Hub,2026-06-09,2026-06-10,Technical Team,All Students,"Enable notifications in your profile settings to receive reminders before events begin.",4,Approved,English,"notifications, reminders"
EH-010,Event Review,Photography Competition,Competition,Art Building,2026-06-10,2026-06-11,Photography Club,All Students,"Creative event with clear judging criteria and attractive prizes.",5,Approved,English,"competition, photography"
EH-011,Event Review,Volunteer Blood Donation,Community Service,Health Center,2026-06-11,2026-06-12,Volunteer Student,All Students,"The staff explained the process clearly and the event was well managed.",5,Approved,English,"volunteer, donation"
EH-012,Event Guide,Using the Event Calendar,Guide,Smart Campus Event Hub,2026-06-12,2026-06-13,Technical Team,All Students,"The calendar displays upcoming events by date, making planning much easier.",4,Approved,English,"calendar, schedule"
EH-013,Event Review,English Conversation Club,Club Activity,Language Center,2026-06-13,2026-06-14,Exchange Student,International Student,"Friendly environment for practicing English with local and international students.",5,Approved,English,"english, club"
EH-014,Event Review,AI and Technology Talk,Seminar,ICT Auditorium,2026-06-14,2026-06-15,ICT Student,Technology Students,"Interesting discussion on artificial intelligence and future careers.",5,Approved,English,"AI, technology"
EH-015,Event Guide,Checking Registration Status,Guide,Smart Campus Event Hub,2026-06-15,2026-06-16,Technical Team,All Students,"Visit My Registrations to check whether your registration is confirmed or pending.",4,Approved,English,"registration, status"
EH-016,Event Review,Music Club Auditions,Club Activity,Music Hall,2026-06-16,2026-06-17,Club Member,All Students,"Fun atmosphere and welcoming club members encouraged new students to join.",5,Approved,English,"music, auditions"
EH-017,Event Review,Hackathon 2026,Competition,Innovation Lab,2026-06-17,2026-06-18,ICT Student,Technology Students,"Excellent teamwork experience with challenging programming tasks.",5,Approved,English,"hackathon, coding"
EH-018,Event Guide,Searching Events by Keyword,Guide,Smart Campus Event Hub,2026-06-18,2026-06-19,Technical Team,All Students,"Search using event titles, organizers, or keywords to quickly find activities.",4,Approved,English,"search, keywords"
EH-019,Event Review,Environmental Awareness Campaign,Campaign,Student Plaza,2026-06-19,2026-06-20,Environmental Club,All Students,"Educational booths encouraged recycling and sustainable practices.",4,Approved,English,"environment, campaign"
EH-020,Event Review,Campus Movie Night,Entertainment,Open Field,2026-06-20,2026-06-21,Student Council,All Students,"A relaxing event with free snacks and a friendly atmosphere.",5,Approved,English,"movie, entertainment"
EH-021,Event Guide,Submitting a New Event,Guide,Organizer Dashboard,2026-06-21,2026-06-22,Club Organizer,Club Organizers,"Complete the event form, upload a poster, and submit for administrator approval.",5,Approved,English,"publish, organizer"
EH-022,Event Review,Science Exhibition,Exhibition,Science Building,2026-06-22,2026-06-23,Science Student,All Students,"Interesting student projects with interactive demonstrations.",4,Approved,English,"science, exhibition"
EH-023,EventReview,Food Festival,Festival,Student Plaza,2026-06-23,2026-06-24,International Student,All Students,"A wide variety of international food stalls with live performances.",5,Approved,English,"food, festival"
EH-024,Event Guide,Event Reminder Settings,Guide,Profile Settings,2026-06-24,2026-06-25,Technical Team,All Students,"Choose to receive reminders one day or one hour before the event starts.",4,Approved,English,"reminder, settings"
EH-025,Event Review,Leadership Training,Workshop,Building 5 Seminar Room,2026-06-25,2026-06-26,Senior Student,Student Leaders,"The activities improved teamwork and communication skills.",5,Approved,English,"leadership, workshop"
EH-026,Event Review,Sports Day Opening Ceremony,Sports Event,University Stadium,2026-06-26,2026-06-27,Sports Club,All Students,"The opening ceremony was energetic with performances from different faculties.",5,Approved,English,"sports day, ceremony"
EH-027,EventGuide,Joining Student Clubs,Guide,Student Activity Center,2026-06-27,2026-06-28,Student Ambassador,First-year Student,"Browse available clubs, attend the club fair, and register through the Event Hub.",4,Approved,English,"clubs, registration"
EH-028,Event Review,Startup Pitch Competition,Competition,Business Innovation Center,2026-06-28,2026-06-29,Business Student,Entrepreneurship Students,"Creative startup ideas with valuable feedback from judges.",5,Approved,English,"startup, pitch"
EH-029,Event Review,International Friendship Day,Cultural Event,Student Plaza,2026-06-29,2026-06-30,Exchange Student,International Student,"Excellent opportunity to meet students from different countries.",5,Approved,English,"friendship, international"
EH-030,EventGuide,Viewing Event History,Guide,Smart Campus Event Hub,2026-06-30,2026-07-01,Technical Team,All Students,"Users can review previously attended events and download participation certificates if available.",4,Approved,English,"history, certificates"
