Asset_Name,Type,Source_URL,License_or_Permission,Used_In,Credit_Required,Risk_Level,Action
Google Fonts (Poppins),Font Family,https://fonts.google.com/specimen/Poppins,SIL Open Font License 1.1,"Typography across all Smart Campus Event Hub prototype pages",No,Low,"Continue using under the SIL Open Font License."
HTML5,Web Technology,https://html.spec.whatwg.org,Open Web Standard,"Structure of all Smart Campus Event Hub web pages",No,Low,"Continue using as the core web technology."
CSS3,Web Technology,https://www.w3.org/Style/CSS,Open Web Standard,"Responsive layouts and user interface styling across all pages",No,Low,"Continue using as the core styling technology."
JavaScript (ES6),Programming Language,https://developer.mozilla.org/docs/Web/JavaScript,ECMAScript Standard,"Interactive features including event search, registration, favorites, dashboards, profile management, and admin functions",No,Low,"Continue using for client-side functionality."
Browser Local Storage API,Web API,https://developer.mozilla.org/docs/Web/API/Window/localStorage,Web Standard API,"Simulated user authentication, event registrations, favorites, and profile information",No,Low,"Replace with Firebase or another backend database in future production versions."
GitHub,Version Control Platform,https://github.com,GitHub Terms of Service,"Project source code repository, version control, documentation, and team collaboration",No,Low,"Continue using for version control and project management."
Microsoft Power BI Desktop,Analytics Software,https://powerbi.microsoft.com,Microsoft License,"Lab 08 customer validation dashboard and analytics visualization",No,Low,"Continue using for customer validation reporting and analytics."
ChatGPT (OpenAI),AI Assistance,https://chatgpt.com,OpenAI Terms of Use,"Project planning, documentation, prototype refinement, UI suggestions, code assistance, and report writing",No,Low,"Review and verify all AI-generated content before submission."
Student Validation Dataset,Dataset,Created by Team DRUK,Team-Owned,"Customer validation analysis, usability testing, and Power BI dashboard",No,Low,"Maintain as original project evidence and update throughout validation."
Smart Campus Event Hub Prototype,Original UI Design,Created by Team DRUK,Team-Owned,"Homepage, Events, Event Details, Dashboard, Admin Dashboard, Profile, Favorites, Reviews, and documentation",No,Low,"Continue development as original intellectual property."
Project Images and Graphics,Original Design,Created by Team DRUK,Team-Owned,"Homepage banners, event images, icons, cards, and user interface graphics",No,Low,"Continue using as original project assets."
