EventID,RecordID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,R001,7/12/2026 9:10,Admin,CreateEvent,Laptop,7,FR-09
E002,R001,7/13/2026 10:15,Student,ViewEvent,Mobile,2,FR-07
E003,R001,7/14/2026 11:20,Student,RegisterEvent,Mobile,4,FR-03
E004,R001,7/15/2026 14:10,Student,AddFavorite,Mobile,1,FR-08
E005,R002,7/12/2026 10:30,Admin,CreateEvent,Laptop,8,FR-09
E006,R002,7/14/2026 9:45,Student,SearchEvent,Laptop,2,FR-06
E007,R002,7/15/2026 13:05,Student,ViewEvent,Laptop,3,FR-07
E008,R002,7/18/2026 16:20,Student,RegisterEvent,Mobile,5,FR-03
E009,R003,7/13/2026 8:50,Admin,CreateEvent,Desktop,6,FR-09
E010,R003,7/15/2026 12:15,Student,FilterCategory,Mobile,2,FR-06
E011,R003,7/17/2026 15:35,Student,RegisterEvent,Laptop,4,FR-03
E012,R003,7/19/2026 17:05,Student,SubmitReview,Mobile,6,FR-10
E013,R004,7/13/2026 11:10,Admin,CreateEvent,Laptop,7,FR-09
E014,R004,7/16/2026 9:25,Student,ViewEvent,Mobile,2,FR-07
E015,R004,7/18/2026 10:40,Student,AddFavorite,Mobile,1,FR-08
E016,R004,7/20/2026 13:30,Student,RegisterEvent,Laptop,4,FR-03
E017,R005,7/14/2026 14:00,Admin,CreateEvent,Desktop,8,FR-09
E018,R005,7/17/2026 18:10,Student,SearchEvent,Mobile,2,FR-06
E019,R005,7/19/2026 19:20,Student,ViewEvent,Mobile,3,FR-07
E020,R005,7/21/2026 20:00,Student,RegisterEvent,Mobile,5,FR-03
E021,R006,7/15/2026 9:30,Admin,CreateEvent,Laptop,6,FR-09
E022,R006,7/16/2026 10:20,Admin,ReviewEvent,Laptop,9,FR-09
E023,R007,7/16/2026 11:05,Admin,CreateEvent,Desktop,5,FR-09
E024,R007,7/18/2026 12:35,Admin,PublishEvent,Laptop,4,FR-08
E025,R008,7/17/2026 13:10,Admin,CreateEvent,Laptop,7,FR-09
E026,R008,7/19/2026 14:00,Admin,ReviewEvent,Laptop,8,FR-09
E027,R009,7/18/2026 9:15,Admin,CreateEvent,Laptop,5,FR-09
E028,R009,7/19/2026 10:45,Admin,RejectEvent,Laptop,6,FR-09
E029,R010,7/18/2026 15:05,Admin,CreateEvent,Desktop,7,FR-09
E030,R010,7/20/2026 16:25,Student,AddFavorite,Mobile,1,FR-08
E031,R010,7/22/2026 18:15,Student,RegisterEvent,Mobile,4,FR-03
E032,R011,7/19/2026 8:40,Admin,CreateEvent,Laptop,6,FR-09
E033,R011,7/21/2026 9:50,Student,SubmitReview,Laptop,5,FR-10
E034,R012,7/20/2026 10:10,Admin,CreateEvent,Desktop,8,FR-09
E035,R012,7/23/2026 11:30,Admin,ViewDashboard,Laptop,2,FR-12
E036,R013,7/21/2026 12:05,Admin,CreateEvent,Laptop,5,FR-09
E037,R013,7/22/2026 13:25,Student,RegisterEvent,Mobile,3,FR-03
E038,R014,7/22/2026 14:15,Admin,CreateEvent,Laptop,7,FR-09
E039,R014,7/24/2026 15:35,Admin,ReviewEvent,Laptop,9,FR-09
E040,R015,7/23/2026 16:10,Admin,CreateEvent,Desktop,6,FR-09
E041,R015,7/24/2026 17:20,Student,ViewDashboard,Laptop,2,FR-12
E042,R015,7/24/2026 17:30,Student,SubmitReview,Laptop,5,FR-10
