Timestamp,Test_User_ID,User_Role,Prototype_Link,Task_Assigned,Task_Completed_Yes_No,Ease_of_Use_1_5,Usefulness_1_5,Confusing_Screen_or_Step,Most_Useful_Feature,Suggested_Improvement,Requirement_Affected
2026-07-20,U001,First-year Student,Smart Campus Event Hub Prototype,Understand homepage,Yes,5,5,,Event categories,"The homepage clearly explained how students can discover campus events.","FR-01, FR-02"
2026-07-20,U002,International Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,4,5,,Event listing cards,"The event cards helped me quickly understand available campus activities.","FR-03, FR-04"
2026-07-20,U003,Exchange Student,Smart Campus Event Hub Prototype,Search for an event,Yes,4,4,Search keyword label,Search function,"The search feature was useful but the search button should be more visible.","FR-05"
2026-07-20,U004,Senior Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,5,5,,Category filter,"The category filter made finding relevant events easier.","FR-06"
2026-07-20,U005,First-year Student,Smart Campus Event Hub Prototype,View event details,Yes,5,5,,Event detail page,"The event details provided enough information before registration.","FR-07"
2026-07-20,U006,International Student,Smart Campus Event Hub Prototype,Register for an event,Yes,4,5,,Registration form,"The registration process was simple and understandable.","FR-08"
2026-07-20,U007,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,No,3,4,Event form fields,Event creation form,"Some input labels need clearer instructions.","FR-09"
2026-07-20,U008,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,Yes,4,4,,Dashboard summary,"The dashboard displayed event information clearly.","FR-10"
2026-07-20,U009,International Student,Smart Campus Event Hub Prototype,Understand homepage,Yes,5,4,,Homepage overview,"The homepage made it easy to understand the purpose of the platform.","FR-01, FR-02"
2026-07-20,U010,First-year Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,4,5,,Event listing cards,"The event list helped me compare different campus activities.","FR-03, FR-04"
2026-07-20,U011,Senior Student,Smart Campus Event Hub Prototype,Search for an event,Yes,5,5,,Search function,"I could quickly find an event using keywords.","FR-05"
2026-07-20,U012,Exchange Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,4,5,,Category filter,"The categories helped me find events related to my interests.","FR-06"
2026-07-20,U013,First-year Student,Smart Campus Event Hub Prototype,View event details,Yes,5,5,,Event detail page,"The event information was clear and complete.","FR-07"
2026-07-20,U014,International Student,Smart Campus Event Hub Prototype,Register for an event,Yes,4,4,,Registration form,"The registration steps were easy to follow.","FR-08"
2026-07-20,U015,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,Yes,4,5,,Event creation form,"The form helped organizers add event information easily.","FR-09"
2026-07-20,U016,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,No,3,4,Dashboard navigation,Dashboard summary,"The dashboard statistics were useful but navigation should be clearer.","FR-10"
2026-07-20,U017,International Student,Smart Campus Event Hub Prototype,Understand homepage,Yes,5,5,,Feature cards,"The main features were easy to identify from the homepage.","FR-01, FR-02"
2026-07-20,U018,First-year Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,5,4,,Event listing cards,"The event cards provided enough information to choose activities.","FR-03, FR-04"
2026-07-20,U019,Exchange Student,Smart Campus Event Hub Prototype,Search for an event,Yes,4,4,Search bar location,Search function,"The search bar should be placed in a more noticeable location.","FR-05"
2026-07-20,U020,Senior Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,5,5,,Category filter,"Filtering events made browsing faster.","FR-06"
2026-07-20,U021,First-year Student,Smart Campus Event Hub Prototype,View event details,Yes,4,5,,Event detail page,"The details page provided useful information about location and time.","FR-07"
2026-07-20,U022,International Student,Smart Campus Event Hub Prototype,Register for an event,No,3,4,Registration button,Registration form,"The registration button should be more visible.","FR-08"
2026-07-20,U023,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,Yes,5,5,,Event creation form,"Creating an event was simple and required appropriate information.","FR-09"
2026-07-20,U024,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,Yes,4,5,,Dashboard summary,"The dashboard clearly showed event statistics.","FR-10"
2026-07-20,U025,First-year Student,Smart Campus Event Hub Prototype,Understand homepage,Yes,4,5,,Main navigation,"Navigation between event pages was clear.","FR-01, FR-02"
2026-07-21,U026,International Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,5,5,,Event listing cards,"The event cards made it easy to discover activities.","FR-03, FR-04"
2026-07-21,U027,Exchange Student,Smart Campus Event Hub Prototype,Search for an event,Yes,4,5,,Search function,"The search feature reduced the time needed to find events.","FR-05"
2026-07-21,U028,Senior Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,4,4,Category labels,Category filter,"The category names could be more descriptive.","FR-06"
2026-07-21,U029,First-year Student,Smart Campus Event Hub Prototype,View event details,Yes,5,5,,Event detail page,"The event details were easy to understand.","FR-07"
2026-07-21,U030,International Student,Smart Campus Event Hub Prototype,Register for an event,Yes,4,5,,Registration form,"The registration process was quick and simple.","FR-08"
2026-07-21,U031,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,Yes,5,5,,Event creation form,"The event creation process was straightforward.","FR-09"
2026-07-21,U032,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,No,2,3,Dashboard location,Dashboard summary,"The dashboard section was difficult to locate.","FR-10"
2026-07-21,U033,First-year Student,Smart Campus Event Hub Prototype,Understand homepage,Yes,4,5,,Feature cards,"The homepage showed the main purpose clearly.","FR-01, FR-02"
2026-07-21,U034,International Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,5,5,,Event listing cards,"The event categories and descriptions were useful.","FR-03, FR-04"
2026-07-21,U035,Exchange Student,Smart Campus Event Hub Prototype,Search for an event,Yes,5,4,,Search function,"Searching events was easy but suggestions could improve.","FR-05"
2026-07-21,U036,Senior Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,4,5,,Category filter,"The filter helped find specific event types quickly.","FR-06"
2026-07-21,U037,First-year Student,Smart Campus Event Hub Prototype,View event details,Yes,5,5,,Event detail page,"The event details included important information.","FR-07"
2026-07-21,U038,International Student,Smart Campus Event Hub Prototype,Register for an event,Yes,5,5,,Registration form,"The registration process was easy to complete.","FR-08"
2026-07-21,U039,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,Yes,4,5,Date selection,Event creation form,"The date selection field could be clearer.","FR-09"
2026-07-21,U040,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,Yes,4,4,,Dashboard summary,"The dashboard displayed useful information.","FR-10"
2026-07-21,U041,First-year Student,Smart Campus Event Hub Prototype,Understand homepage,Yes,5,5,,Homepage overview,"The platform purpose was immediately understandable.","FR-01, FR-02"
2026-07-21,U042,International Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,4,5,,Event listing cards,"The event list made discovering activities easier.","FR-03, FR-04"
2026-07-21,U043,Exchange Student,Smart Campus Event Hub Prototype,Search for an event,Yes,5,5,,Search function,"The search feature worked effectively.","FR-05"
2026-07-21,U044,Senior Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,5,4,,Category filter,"The filter options were useful.","FR-06"
2026-07-21,U045,First-year Student,Smart Campus Event Hub Prototype,View event details,Yes,5,5,,Event detail page,"The event page provided complete information.","FR-07"
2026-07-21,U046,International Student,Smart Campus Event Hub Prototype,Register for an event,Yes,4,5,Registration confirmation,Registration form,"The confirmation message should be more noticeable.","FR-08"
2026-07-21,U047,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,Yes,4,4,,Event creation form,"The form was easy but more guidance could help.","FR-09"
2026-07-21,U048,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,Yes,5,5,,Dashboard summary,"The dashboard clearly displayed event information.","FR-10"
2026-07-21,U049,International Student,Smart Campus Event Hub Prototype,Understand homepage,No,3,3,Navigation labels,Main navigation,"One navigation label should be clearer.","FR-01, FR-02"
2026-07-21,U050,First-year Student,Smart Campus Event Hub Prototype,Browse upcoming events,Yes,4,5,,Event listing cards,"The event cards helped me quickly compare activities.","FR-03, FR-04"
Timestamp,Test_User_ID,User_Role,Prototype_Link,Task_Assigned,Task_Completed_Yes_No,Ease_of_Use_1_5,Usefulness_1_5,Confusing_Screen_or_Step,Most_Useful_Feature,Suggested_Improvement,Requirement_Affected
2026-07-22,U051,First-year Student,Smart Campus Event Hub Prototype,Search for an event,Yes,4,5,Search keyword label,Search function,"The search feature was useful but the search suggestions could be improved.","FR-05"
2026-07-22,U052,International Student,Smart Campus Event Hub Prototype,Filter events by category,Yes,5,4,Category labels,Category filter,"The category names should be more specific for easier selection.","FR-06"
2026-07-22,U053,Exchange Student,Smart Campus Event Hub Prototype,View event details,Yes,5,5,,Event detail page,"The event details showed important information clearly.","FR-07"
2026-07-22,U054,Senior Student,Smart Campus Event Hub Prototype,Register for an event,Yes,4,5,,Registration form,"The registration process was simple and easy to understand.","FR-08"
2026-07-22,U055,Club Organizer,Smart Campus Event Hub Prototype,Create a campus event,Yes,4,5,Event category selection,Event creation form,"The event category field should provide more examples.","FR-09"
2026-07-22,U056,Student Administrator,Smart Campus Event Hub Prototype,View event management dashboard,No,2,3,Statistic labels,Dashboard summary,"The dashboard statistics need clearer labels.","FR-10"
