date,channel,landing_page_views,cta_clicks,demo_attempts,feedback_responses,signups_or_testers,notes
2026-07-01,Class Chat,45,20,12,10,8,Students discovered Smart Campus Event Hub through class communication channels
2026-07-02,QR Poster,35,15,8,6,5,QR posters helped students access the event platform
2026-07-03,Instagram Story,60,30,18,12,10,Social media promotion increased awareness among students
2026-07-04,Student Club Promotion,55,28,16,11,9,Student clubs promoted the platform to members
2026-07-05,Campus Orientation,80,45,25,20,15,First-year students used the platform to discover events
2026-07-06,University Announcement,70,35,20,15,12,Official announcements reached more students
2026-07-07,Friend Recommendation,50,25,14,10,8,Students shared the platform with friends
2026-07-08,Class Chat,65,32,20,16,13,Students tested event browsing and registration features
2026-07-09,Instagram Story,75,40,22,18,14,Social media engagement improved participation
2026-07-10,Campus Event Booth,90,50,30,25,20,Direct interaction encouraged students to try the prototype
